wbcode,country,areakm2,centroid_lat,centroid_lon,elevation,population95,populationdensitykm2
AFG,Afghanistan,646212,33.78231,66.1685,1884.71,19800000,101.466
AGO,Angola,1235014,-12.35773,17.73944,1112.805,10300000,39.122
ALB,Albania,27899.96,41.14326,20.25988,911.4299,3024697,138.108
ARE,United Arab Emirates,102580.3,23.53906,54.30128,148.9142,2149241,68.906
ARG,Argentina,2775401,-35.38706,-64.92097,595.62,31000000,47.908
ARM,Armenia,30643.8,40.30967,45.21657,1792.034,3632465,105.577
AUS,Australia,7662592,-25.84766,134.6131,272.4731,15700000,799.967
AUT,Austria,84905.64,47.59834,14.31527,898.7706,8617498,778.226
AZE,Azerbaijan,87881.22,40.27108,47.8243,750.5538,7354703,66.356
BDI,Burundi,28289.77,-3.514774,30.0655,1504.207,5911982,272.686
BEL,Belgium,31318.33,50.66245,4.826458,181.7746,10300000,1048.776
BEN,Benin,116045.6,9.616513,2.552924,273.4081,5428838,198.822
BFA,Burkina Faso,276522.2,12.26572,-1.53909,297.8957,10500000,64.755
BGD,Bangladesh,135886.9,23.81429,90.42107,85.4761,114000000,1060.791
BGR,Bulgaria,119438.6,42.79115,25.34952,421.2224,9184847,226.465
BIH,Bosnia and Herzegovina,51385.29,44.17501,17.9927,702.2336,3430252,85.975
BLR,Byelarus,205718.3,53.54709,28.23455,160.8277,10400000,58.333
BLZ,Belize,22127.11,17.21523,-88.52512,173.3061,208650,13.273
BOL,Bolivia,1090806,-16.72635,-64.43522,1192.57,7445214,12.522
BRA,Brazil,8420640,-10.83416,-52.87329,319.2997,147000000,503.878
BRN,Brunei,6733.067,4.475859,114.8555,478.7564,233433,43.479
BTN,Bhutan,38303.91,27.39507,90.58325,2220.219,1964967,254.516
BWA,Botswana,589403.2,-22.26193,23.95509,1013.629,1544234,41.789
CAF,Central African Republic,631687.8,6.504555,20.60242,635.7053,3290360,59.749
CAN,Canada,9590309,61.06258,-98.37773,487.6221,27600000,883.357
CHE,Switzerland,41452.37,46.83931,8.354403,1369.6,7423690,380.218
CHL,Chile,668868.7,-35.81583,-70.89063,1871.129,13300000,210.804
CHN,China,9344594,36.59114,103.9404,1839.95,1160000000,787.353
CIV,Ivory Coast,313565.6,7.611573,-5.326017,250.7441,12600000,134.637
CMR,Cameroon,463006.3,5.680264,12.92409,667.4828,12700000,95.794
COG,Congo,329168.3,-0.878413,15.33877,430.1534,2390112,2124.971
COL,Colombia,1153540,3.881151,-72.86671,593.12,38400000,142.511
CRI,Costa Rica,50525.34,10.0115,-83.95204,746.2103,3454519,1043.337
CUB,Cuba,100428.7,21.69808,-78.7944,108.2346,8918043,364.518
CYP,Cyprus,9181.428,35.03115,33.29025,9.1667,634192,85.323
CZE,Czech Republic,80164.98,49.77929,15.54208,433.0312,10800000,151.248
DEU,Germany,349898,51.08291,10.55751,270.8496,80500000,1002.996
