Name,Place,Country,Year,Latitude,Longitude,Mass,Class,Fa,Fs,Wo,MonetaryValue
Jiddat al Harasis 073,Al Wusta,Oman,2002,19°42'N,55°44'E,550000,L6,25.3,22.4,1.2,86000
Sayh al Uhaymir 001,Al Wusta,Oman,2000,20°31.0'N,56°40.0'E,408000,L4/5,24.7,21.4,43.6,61000
Youxi ,Fujian,China,2006,26.06° N,118.01° E,218000,Mesosiderite-C,30.2,28.1,2.2,43000
Dar al Gani 749,Sabha,Libya,2005,27°18.10'N,15°45.87'E,95000,CO3,98,47.9,0,32000
Jiddat al Harasis 055,Al Wusta,Oman,2004,19°39.1'N,55°41.4'E,200000,L4-5,25.6,21.7,0,30000
Dhofar 020,Zufar,Oman,2000,19°02.0'N,54°31.0'E,256000,H4-5,18.1,15.9,0,28000
Xining ,Qinghai,China,2012,36°51'35.7N,101°25'33.70E,100001,L5,40,40,0,28000
Jalu,Ajdabiya,Libya,2000,27°57.5'N,21°41.0'E,150000,L6,25.4,21.5,0,23000
Dhofar 005,Zufar,Oman,2000,18°10.0'N,54°10.0'E,125500,L6,24.8,22.3,0,20000
Jiddat al Harasis 091,Al Wusta,Oman,2002,19°41.617'N,56°39.259'E,123374,L5,25,21.3,1.7,18000
Sulagiri ,Tamil Nadu,India,2008,12°40'00N,78°02'00E,110000,LL6,25.4,21.9,0,17000
Toufassour ,Guelmim-Es-Semara,Morocco,2007,29°39'.135N,7°44'.958W,73300,Mesosiderite,0,33,0,17000
Chelyabinsk ,Chelyabinskaya oblast',Russia,2013,54°49'N,61°07'E,100001,LL5,27.9,22.8,4,16000
Karavannoe ,Kirovskaya oblast',Russia,1965,57°46.87'N,47°40.78'E,132000,Pallasite,19.7,16.8,39.9,16000
Kharabali ,Astrakhanskaya oblast',Russia,2001,47°27.42'N,47°32.31'E,140000,H5,18.7,16.8,1.4,16000
Jiddat al Harasis 090,Al Wusta,Oman,2002,19°43.007'N,56°36.372'E,92667,L5,25.1,22.8,6.9,15000
Hammadah al Hamra 153,Ash Shati',Libya,1995,28°36.02'N,13°34.65'E,50000,H3.8-4,24,40,0,14000
Nkayi ,Matabeleland North,Zimbabwe,2009,18°56'S,28°36'E,100000,L6,24.5,20.7,0,14000
